GeneID,nr_annotation
CSS0002952,PREDICTED: uncharacterized protein LOC103343257 [Prunus mume]
CSS0045741,hypothetical protein JCGZ_15830 [Jatropha curcas]
CSS0019548,PREDICTED: acidic endochitinase isoform X1 [Tarenaya hassleriana] 
CSS0026953,PREDICTED: homeobox-leucine zipper protein ANTHOCYANINLESS 2 isoform X2 [Vitis vinifera]
CSS0038658,PREDICTED: magnesium transporter MRS2-F-like [Elaeis guineensis]
CSS0045933,hypothetical protein MIMGU_mgv1a024293mg partial [Erythranthe guttata]
CSS0027186,hypothetical protein VITISV_028768 [Vitis vinifera]
CSS0022731,PREDICTED: uncharacterized protein LOC102619128 [Citrus sinensis]
CSS0030335,unknown [Phaseolus vulgaris]
CSS0016594,PREDICTED: probable glycosyltransferase At5g03795 [Vitis vinifera]
CSS0045573,hypothetical protein POPTR_0003s11470g [Populus trichocarpa] 
CSS0009502,hypothetical protein CISIN_1g003515mg [Citrus sinensis]
CSS0006522,hypothetical protein VITISV_026044 [Vitis vinifera]
CSS0016791,PREDICTED: probable serine/threonine-protein kinase At1g18390 isoform X3 [Sesamum indicum]
CSS0049746,PREDICTED: probable RNA methyltransferase At5g51130 [Sesamum indicum]
CSS0035059,PREDICTED: uncharacterized protein LOC104448410 [Eucalyptus grandis] 
CSS0048736,PREDICTED: cysteine--tRNA ligase cytoplasmic [Nelumbo nucifera]
CSS0011958,hypothetical protein VITISV_021899 [Vitis vinifera]
CSS0002556,PREDICTED: UPF0415 protein C7orf25 homolog isoform X2 [Vitis vinifera]
CSS0027185,PREDICTED: uncharacterized protein LOC105173505 [Sesamum indicum]
CSS0016039,PREDICTED: uncharacterized protein LOC105111367 [Populus euphratica]
CSS0025014,PREDICTED: axial regulator YABBY 5 isoform X1 [Vitis vinifera] 
CSS0032763,Cytochrome P450 family 704 subfamily A polypeptide 2 isoform 1 [Theobroma cacao] 
CSS0042958,PREDICTED: protein EXORDIUM-like 2 [Nicotiana tomentosiformis]
CSS0020045,PREDICTED: zinc finger CCCH domain-containing protein 31-like isoform X1 [Citrus sinensis]
CSS0040999,PREDICTED: uncharacterized protein LOC104602709 [Nelumbo nucifera]
CSS0000113,PREDICTED: ankyrin repeat and SAM domain-containing protein 6 [Vitis vinifera] 
CSS0034272,hypothetical protein VITISV_003620 [Vitis vinifera]
CSS0021206,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At4g08850-like [Citrus sinensis]
CSS0045678,PREDICTED: uncharacterized protein LOC104098539 [Nicotiana tomentosiformis]
CSS0026650,hypothetical protein VITISV_005771 [Vitis vinifera]
CSS0043831,PREDICTED: probable WRKY transcription factor 65 [Vitis vinifera] 
CSS0015082,hypothetical protein CISIN_1g0039661mg partial [Citrus sinensis]
CSS0001807,hypothetical protein L484_014618 [Morus notabilis] 
CSS0004648,PREDICTED: uncharacterized protein At1g04910 isoform X2 [Nelumbo nucifera]
CSS0018694,hypothetical protein JCGZ_25543 [Jatropha curcas]
CSS0008825,PREDICTED: DNA-directed RNA polymerase 1 mitochondrial [Vitis vinifera]
CSS0006986,PREDICTED: protein spt2 isoform X1 [Vitis vinifera] 
CSS0036009,PREDICTED: pentatricopeptide repeat-containing protein At1g74750-like isoform X1 [Nicotiana sylvestris]
CSS0030640,PREDICTED: uncharacterized protein LOC102621741 isoform X3 [Citrus sinensis]
CSS0030460,PREDICTED: pentatricopeptide repeat-containing protein At2g21090-like [Vitis vinifera]
CSS0047691,PREDICTED: transposon TX1 uncharacterized 149 kDa protein [Vitis vinifera]
CSS0035088,PREDICTED: intron-binding protein aquarius [Vitis vinifera]
CSS0017606,hypothetical protein JCGZ_00132 [Jatropha curcas]
CSS0042702,PREDICTED: heterogeneous nuclear ribonucleoprotein R [Sesamum indicum]
CSS0027769,PREDICTED: uncharacterized protein LOC103336899 isoform X1 [Prunus mume] 
CSS0009366,hypothetical protein VITISV_024905 [Vitis vinifera]
CSS0048947,PREDICTED: succinate-semialdehyde dehydrogenase mitochondrial isoform X2 [Sesamum indicum] 
CSS0010149,hypothetical protein 24.t00067 [Brassica oleracea]
CSS0006695,hypothetical protein PRUPE_ppa021453mg [Prunus persica] 
CSS0025511,PREDICTED: universal stress protein A-like protein isoform X2 [Nelumbo nucifera]
CSS0042274,hypothetical protein [Beta vulgaris subsp. vulgaris]
CSS0013180,PREDICTED: ABC transporter G family member 14 [Vitis vinifera] 
CSS0004599,PREDICTED: uncharacterized protein LOC103328135 [Prunus mume]
CSS0038395,PREDICTED: probable aldo-keto reductase 4 [Vitis vinifera]
CSS0030158,copia-type reverse transcriptase-like protein [Arabidopsis thaliana]
CSS0003330,Phosphate transporter PHO1 -like protein [Gossypium arboreum]
CSS0022359,PREDICTED: pentatricopeptide repeat-containing protein At5g18950 [Vitis vinifera]
CSS0034813,PREDICTED: tubby-like F-box protein 3 [Nelumbo nucifera]
CSS0029771,PREDICTED: zinc finger MYM-type protein 1-like [Beta vulgaris subsp. vulgaris]
CSS0030556,ATP-binding cassette transporter putative [Ricinus communis] 
CSS0030801,hypothetical protein VITISV_025813 [Vitis vinifera]
CSS0010075,hypothetical protein EUGRSUZ_C00763 [Eucalyptus grandis]
CSS0044399,PREDICTED: 12-oxophytodienoate reductase 2-like isoform X1 [Citrus sinensis]
CSS0006321,PREDICTED: probable receptor-like protein kinase At1g67000 [Vitis vinifera]
CSS0038070,PREDICTED: probable glycosyltransferase At5g25310 [Prunus mume]
CSS0022055,hypothetical protein VITISV_035279 [Vitis vinifera]
CSS0046259,hypothetical protein PRUPE_ppa012932mg [Prunus persica] 
CSS0026911,putative ubiquitin-conjugating enzyme family [Zea mays]
CSS0023433,PREDICTED: 40S ribosomal protein S21-2 [Solanum lycopersicum]
CSS0003964,MUTL isoform 1 [Theobroma cacao] 
CSS0011558,auxin response factor 5 [Camellia sinensis]
CSS0022889,PREDICTED: probable cytosolic oligopeptidase A [Sesamum indicum] 
CSS0042434,PREDICTED: ras-related protein RHN1 isoform X1 [Glycine max] 
CSS0000578,unnamed protein product [Coffea canephora]
CSS0031125,PREDICTED: mucin-17 [Vitis vinifera] 
CSS0039992,PREDICTED: uncharacterized protein LOC100243564 [Vitis vinifera] 
CSS0007314,PREDICTED: pectinesterase 3 [Vitis vinifera]
CSS0001637,unnamed protein product [Coffea canephora]
CSS0010853,PREDICTED: uncharacterized protein LOC104592622 [Nelumbo nucifera]
CSS0001517,hypothetical protein VITISV_042009 [Vitis vinifera]
CSS0032593,PREDICTED: probable receptor-like protein kinase At1g67000 isoform X2 [Vitis vinifera]
CSS0029028,PREDICTED: protein STRUBBELIG-RECEPTOR FAMILY 8-like [Nelumbo nucifera]
CSS0049942,Uncharacterized protein TCM_004731 [Theobroma cacao] 
CSS0046137,hypothetical protein POPTR_0001s31380g [Populus trichocarpa] 
CSS0015990,unnamed protein product [Coffea canephora]
CSS0024740,PREDICTED: uncharacterized protein LOC103697792 [Phoenix dactylifera]
CSS0043353,PREDICTED: uncharacterized protein LOC105036745 partial [Elaeis guineensis]
CSS0023414,Naringenin2-oxoglutarate 3-dioxygenase [Gossypium arboreum] 
CSS0043295,PREDICTED: putative disease resistance protein At1g50180 [Sesamum indicum]
CSS0008101,unnamed protein product [Coffea canephora]
CSS0036255,PREDICTED: cytochrome b-c1 complex subunit 9-like [Nelumbo nucifera]
CSS0006041,PREDICTED: MADS-box transcription factor 23-like isoform X1 [Nelumbo nucifera]
CSS0037160,RNI-like superfamily protein [Theobroma cacao] 
CSS0031329,unnamed protein product [Coffea canephora]
CSS0032767,PREDICTED: DEAD-box ATP-dependent RNA helicase 58 chloroplastic isoform X1 [Vitis vinifera]
CSS0033775,gag-pol precursor [Castanea mollissima]
CSS0020359,PREDICTED: deSI-like protein At4g17486 [Vitis vinifera] 
CSS0036318,PREDICTED: GDSL esterase/lipase At2g04570-like [Nicotiana tomentosiformis]
CSS0024763,PREDICTED: pheophorbide a oxygenase chloroplastic-like [Citrus sinensis]
CSS0002858,PREDICTED: uncharacterized protein LOC105139212 isoform X1 [Populus euphratica]
CSS0034153,PREDICTED: serine/threonine-protein kinase D6PK [Vitis vinifera] 
CSS0013062,PREDICTED: putative E3 ubiquitin-protein ligase RING1a [Nicotiana sylvestris]
CSS0028566,hypothetical protein CISIN_1g001213mg [Citrus sinensis]
CSS0046825,PREDICTED: uncharacterized protein LOC100242437 [Vitis vinifera]
CSS0015094,PREDICTED: nicotinamide adenine dinucleotide transporter 1 chloroplastic-like [Nelumbo nucifera]
CSS0031665,conserved hypothetical protein [Ricinus communis] 
CSS0016016,unnamed protein product [Vitis vinifera]
CSS0050485,PREDICTED: palmitoyl-protein thioesterase 1 [Prunus mume]
CSS0043775,hypothetical protein VITISV_029835 [Vitis vinifera]
CSS0024315,cyclin dependent kinase A [Camellia sinensis]
CSS0040643,PREDICTED: uncharacterized protein LOC100854331 [Vitis vinifera] 
CSS0008609,actin-binding FH2 (formin-like) protein [Medicago truncatula]
CSS0009598,galacturonokinase [Camellia sinensis]
CSS0019128,PREDICTED: uncharacterized aarF domain-containing protein kinase At1g79600 chloroplastic [Nelumbo nucifera] 
CSS0045525,PREDICTED: probable isoleucine--tRNA ligase mitochondrial [Sesamum indicum]
CSS0004441,PREDICTED: probable xyloglucan endotransglucosylase/hydrolase protein 23 [Vitis vinifera]
CSS0023559,hypothetical protein MTR_1g093960 [Medicago truncatula] 
CSS0021875,potassium channel beta putative [Ricinus communis] 
CSS0002809,PREDICTED: protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 6-like [Malus domestica]
CSS0048370,conserved hypothetical protein [Ricinus communis] 
CSS0024133,PREDICTED: NAC domain-containing protein 7-like [Solanum lycopersicum]
CSS0026826,hypothetical protein JCGZ_02737 [Jatropha curcas]
CSS0047570,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g07650 [Vitis vinifera] 
CSS0027302,PREDICTED: homeobox-leucine zipper protein ROC3 [Vitis vinifera] 
CSS0013058,unnamed protein product [Coffea canephora]
CSS0022340,hypothetical protein JCGZ_20185 [Jatropha curcas]
CSS0005091,PREDICTED: pectinesterase-like [Nicotiana tomentosiformis]
CSS0033833,GID1c [Camellia sinensis]
CSS0042369,PREDICTED: BEACH domain-containing protein lvsA [Vitis vinifera]
CSS0010445,PREDICTED: uncharacterized protein LOC103958625 [Pyrus x bretschneideri] 
CSS0025549,PREDICTED: ADPATP carrier protein mitochondrial [Sesamum indicum] 
CSS0005811,PREDICTED: pre-mRNA-splicing factor syf2 [Vitis vinifera] 
CSS0035965,PREDICTED: uncharacterized protein LOC102662659 [Glycine max]
CSS0023954,hypothetical protein JCGZ_15830 [Jatropha curcas]
CSS0006364,PREDICTED: uncharacterized protein LOC104772563 [Camelina sativa]
CSS0008842,PREDICTED: PTI1-like tyrosine-protein kinase At3g15890 isoform X1 [Populus euphratica]
CSS0027621,PREDICTED: shaggy-related protein kinase alpha [Vitis vinifera]
CSS0016785,hypothetical protein CICLE_v10010605mg partial [Citrus clementina] 
CSS0018253,Leucine-rich repeat receptor-like protein kinase family protein putative [Theobroma cacao] 
CSS0037010,PREDICTED: uncharacterized protein LOC104606351 [Nelumbo nucifera]
CSS0027127,PREDICTED: 60S ribosomal protein L21-1-like [Elaeis guineensis]
CSS0037202,PREDICTED: kinesin-13A-like [Nelumbo nucifera]
CSS0036386,polyprotein [Solanum melongena]
CSS0016527,PREDICTED: CASP-like protein 1-like [Fragaria vesca subsp. vesca]
CSS0031757,PREDICTED: vacuolar protein 8 [Vitis vinifera]
CSS0003541,PREDICTED: pentatricopeptide repeat-containing protein At1g74900 mitochondrial [Prunus mume]
CSS0025215,transcription factor R2R3-MYB2 [Camellia sinensis]
CSS0006959,unnamed protein product [Coffea canephora]
CSS0039192,PREDICTED: ankyrin-1-like [Nicotiana sylvestris]
CSS0040938,hypothetical protein CISIN_1g045719mg [Citrus sinensis]
CSS0042000,hypothetical protein PRUPE_ppa021114mg partial [Prunus persica] 
CSS0032539,PREDICTED: uncharacterized protein LOC101299451 [Fragaria vesca subsp. vesca]
CSS0018572,unnamed protein product [Coffea canephora]
CSS0024501,unnamed protein product [Coffea canephora]
CSS0034769,Farnesylcysteine lyase [Theobroma cacao] 
CSS0024719,hypothetical protein CISIN_1g031839mg [Citrus sinensis]
CSS0048748,PREDICTED: uncharacterized protein LOC101218253 [Cucumis sativus] 
CSS0004825,PREDICTED: DNA topoisomerase 3-alpha [Nelumbo nucifera]
CSS0035604,organic cation transporter-related family protein [Populus trichocarpa] 
CSS0007628,PREDICTED: uncharacterized protein LOC103705437 [Phoenix dactylifera]
CSS0003650,Ferulic acid 5-hydroxylase 1 [Theobroma cacao] 
CSS0045577,hypothetical protein ARALYDRAFT_891548 [Arabidopsis lyrata subsp. lyrata] 
CSS0020550,PREDICTED: uncharacterized protein LOC104900570 [Beta vulgaris subsp. vulgaris]
CSS0049966,PREDICTED: myb-related protein 306 [Vitis vinifera] 
CSS0025081,hypothetical protein CISIN_1g042261mg [Citrus sinensis]
CSS0024520,hypothetical protein JCGZ_21145 [Jatropha curcas]
CSS0011983,PREDICTED: uncharacterized protein LOC100261829 [Vitis vinifera] 
CSS0032722,PREDICTED: LOB domain-containing protein 15 [Vitis vinifera] 
CSS0017956,PREDICTED: putative pentatricopeptide repeat-containing protein At5g06400 mitochondrial [Vitis vinifera]
CSS0008769,PREDICTED: F-box protein At5g07610-like [Citrus sinensis]
CSS0044440,PREDICTED: eukaryotic translation initiation factor 4B-like [Sesamum indicum]
CSS0018486,PREDICTED: uncharacterized protein LOC102668041 [Glycine max]
CSS0026792,PREDICTED: uncharacterized protein LOC104882234 [Vitis vinifera]
CSS0036209,Small heat shock protein isoform 2 [Theobroma cacao] 
CSS0011717,unnamed protein product [Coffea canephora]
CSS0041878,PREDICTED: peptidyl-tRNA hydrolase 2 mitochondrial isoform X1 [Vitis vinifera] 
CSS0046719,unnamed protein product [Coffea canephora]
CSS0049671,Mediator of RNA polymerase II transcription subunit 10 [Gossypium arboreum]
CSS0040067,PREDICTED: ATP-dependent zinc metalloprotease FTSH 11 chloroplastic/mitochondrial isoform X1 [Sesamum indicum]
CSS0004844,PREDICTED: pentatricopeptide repeat-containing protein At1g52640 mitochondrial [Vitis vinifera] 
CSS0005349,PREDICTED: probable strigolactone esterase D14 homolog [Prunus mume]
CSS0016522,hypothetical protein MIMGU_mgv1a013359mg [Erythranthe guttata]
CSS0015350,PREDICTED: receptor-like protein kinase HSL1 [Prunus mume]
CSS0033777,unnamed protein product [Vitis vinifera]
CSS0001226,PREDICTED: sigma factor binding protein 1 chloroplastic-like [Nelumbo nucifera]
CSS0022440,PREDICTED: FRIGIDA-like protein 3 [Vitis vinifera]
CSS0037005,Transcription factor putative [Theobroma cacao] 
CSS0024238,PREDICTED: type I inositol 145-trisphosphate 5-phosphatase CVP2 isoform X2 [Vitis vinifera]
CSS0013371,PREDICTED: cyclin-dependent kinase A-1 [Brassica rapa] 
CSS0046434,hypothetical protein PRUPE_ppa012960mg [Prunus persica] 
CSS0019374,PREDICTED: zeatin O-glucosyltransferase-like [Vitis vinifera]
CSS0010197,PREDICTED: serine carboxypeptidase-like 20 [Prunus mume]
CSS0014981,alr/erv putative [Ricinus communis] 
CSS0009487,hypothetical protein PRUPE_ppa001941mg [Prunus persica] 
CSS0029544,PREDICTED: F-box protein At5g07610 [Vitis vinifera]
CSS0020697,PREDICTED: general transcription factor IIH subunit 3 [Nicotiana sylvestris]
CSS0026039,BZIP transcription factor family protein isoform 1 [Theobroma cacao] 
CSS0045719,hypothetical protein POPTR_0016s00790g [Populus trichocarpa] 
CSS0041347,Os01g0225200 [Oryza sativa Japonica Group] 
CSS0046476,hypothetical protein EUTSA_v10005376mg [Eutrema salsugineum] 
CSS0028753,hypothetical protein [Beta vulgaris subsp. vulgaris]
CSS0017251,MATH domain-containing protein [Morus notabilis] 
CSS0027743,PREDICTED: cytochrome P450 734A1-like [Fragaria vesca subsp. vesca]
CSS0029667,PREDICTED: probable ubiquitin-like-specific protease 2B [Nelumbo nucifera]
CSS0031766,Uncharacterized protein TCM_029748 [Theobroma cacao] 
CSS0007000,PREDICTED: uncharacterized protein LOC100263964 [Vitis vinifera]
CSS0025596,neutral invertase [Litchi chinensis]
CSS0008348,hypothetical protein VITISV_032626 [Vitis vinifera]
CSS0038101,unnamed protein product [Coffea canephora]
CSS0035846,hypothetical protein VITISV_007128 [Vitis vinifera]
CSS0023107,PREDICTED: peroxisomal membrane protein 11D-like [Pyrus x bretschneideri] 
CSS0041136,PREDICTED: putative wall-associated receptor kinase-like 16 [Nelumbo nucifera]
CSS0000540,Receptor expression-enhancing protein putative [Ricinus communis] 
CSS0012307,PREDICTED: calcium-dependent protein kinase 26-like isoform X1 [Vitis vinifera] 
CSS0031157,PREDICTED: poly(A)-specific ribonuclease PARN [Vitis vinifera] 
CSS0006924,PREDICTED: uncharacterized protein LOC103420252 [Malus domestica]
CSS0023005,Endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain putative isoform 1 [Theobroma cacao] 
CSS0035264,PREDICTED: uncharacterized protein LOC104593196 [Nelumbo nucifera]
CSS0014519,PREDICTED: uncharacterized protein LOC105172455 isoform X1 [Sesamum indicum] 
CSS0006387,PREDICTED: uncharacterized protein LOC102603902 [Solanum tuberosum]
CSS0024440,PREDICTED: ATP-dependent RNA helicase-like protein DB10 [Nelumbo nucifera]
CSS0044720,PREDICTED: syntaxin-22-like [Phoenix dactylifera]
CSS0014881,unknown [Lotus japonicus]
CSS0035542,PREDICTED: uncharacterized protein LOC103420839 [Malus domestica]
CSS0020636,Myb domain protein 64 putative [Theobroma cacao] 
CSS0016477,PREDICTED: zinc finger CCCH domain-containing protein 58-like [Solanum tuberosum]
CSS0019181,PREDICTED: ubiquitin carboxyl-terminal hydrolase 25 [Nicotiana tomentosiformis]
CSS0025645,PREDICTED: peptidyl-tRNA hydrolase chloroplastic-like [Pyrus x bretschneideri]
CSS0004071,PREDICTED: U-box domain-containing protein 44-like isoform X2 [Citrus sinensis] 
CSS0000957,hypothetical protein CICLE_v10020565mg [Citrus clementina] 
CSS0048784,hypothetical protein POPTR_0013s13940g [Populus trichocarpa] 
CSS0032993,PREDICTED: sorting nexin 1 [Nicotiana sylvestris]
CSS0017296,PREDICTED: protein translation factor SUI1 homolog [Nelumbo nucifera]
CSS0008389,PREDICTED: G-type lectin S-receptor-like serine/threonine-protein kinase RKS1 [Nicotiana tomentosiformis]
CSS0013481,PREDICTED: SEC12-like protein 1 [Nelumbo nucifera]
CSS0019176,PREDICTED: short-chain dehydrogenase TIC 32 chloroplastic [Vitis vinifera] 
CSS0032087,LYR motif-containing 5A [Gossypium arboreum]
CSS0017922,PREDICTED: receptor-like serine/threonine-protein kinase ALE2 [Vitis vinifera]
CSS0030116,hypothetical protein CICLE_v10029295mg [Citrus clementina] 
CSS0045107,PREDICTED: laccase-7-like [Solanum tuberosum]
CSS0023367,hypothetical protein VITISV_041509 [Vitis vinifera]
CSS0027801,PREDICTED: mitotic checkpoint protein BUB3.1 [Nicotiana sylvestris]
CSS0042492,PREDICTED: protein RRNAD1 isoform X1 [Vitis vinifera] 
CSS0038044,acetyl-CoA C-acetyltransferase protein [Camellia oleifera]
CSS0007398,UGT6 [Panax ginseng]
CSS0029633,hypothetical protein VITISV_000588 [Vitis vinifera]
CSS0007819,hypothetical protein POPTR_0001s35070g [Populus trichocarpa] 
CSS0024123,unnamed protein product [Coffea canephora]
CSS0036828,PREDICTED: phagocyte signaling-impaired protein isoform X1 [Vitis vinifera]
CSS0033092,PREDICTED: uncharacterized protein LOC100246722 [Vitis vinifera] 
CSS0008296,PREDICTED: uncharacterized protein YIR042C [Vitis vinifera]
CSS0038921,hypothetical protein CICLE_v10019466mg [Citrus clementina] 
CSS0048344,unnamed protein product [Vitis vinifera]
CSS0047029,Long-chain base1 isoform 1 [Theobroma cacao] 
CSS0027875,PREDICTED: thioredoxin-like [Nicotiana tomentosiformis]
CSS0036815,hypothetical protein PRUPE_ppa016030mg [Prunus persica] 
CSS0043166,PREDICTED: VHS domain-containing protein At3g16270 [Vitis vinifera] 
CSS0035285,PREDICTED: uncharacterized protein LOC104604520 [Nelumbo nucifera]
CSS0042130,PREDICTED: PLASMODESMATA CALLOSE-BINDING PROTEIN 3 [Sesamum indicum]
CSS0036569,hypothetical protein PRUPE_ppa013805mg [Prunus persica] 
CSS0018062,PREDICTED: biotin--protein ligase-like [Citrus sinensis]
CSS0036907,hypothetical protein POPTR_0002s22370g partial [Populus trichocarpa] 
CSS0019023,hypothetical protein CICLE_v10011942mg [Citrus clementina] 
CSS0005631,unnamed protein product [Chondrus crispus] 
CSS0050406,MADS-box transcription factor [Cyclamen persicum]
CSS0016619,PREDICTED: thaumatin-like protein 1b [Nicotiana sylvestris]
CSS0015402,PREDICTED: protein MID1-COMPLEMENTING ACTIVITY 1-like isoform X1 [Solanum tuberosum]
CSS0031128,PREDICTED: serine/threonine-protein kinase-like protein CCR1 [Sesamum indicum]
CSS0007540,hypothetical protein PRUPE_ppa012932mg [Prunus persica] 
CSS0011007,PREDICTED: uncharacterized protein LOC100265959 isoform X1 [Vitis vinifera]
CSS0009157,PREDICTED: callose synthase 1 [Sesamum indicum] 
CSS0004669,PREDICTED: uncharacterized protein LOC105160671 [Sesamum indicum]
CSS0026389,hypothetical protein MIMGU_mgv1a018650mg [Erythranthe guttata]
CSS0014286,PREDICTED: uncharacterized protein LOC100263310 [Vitis vinifera]
CSS0047493,PREDICTED: pectinesterase 2 [Vitis vinifera]
CSS0047546,ribosomal protein subunit L5 (mitochondrion) [Rhazya stricta] 
CSS0049299,ROP interactive partner 5 isoform 5 [Theobroma cacao] 
CSS0048471,PREDICTED: protein trichome birefringence-like 35 [Vitis vinifera]
CSS0002762,PREDICTED: uncharacterized protein LOC105177095 [Sesamum indicum]
CSS0033890,PREDICTED: uncharacterized protein LOC102614166 [Citrus sinensis]
CSS0037710,hypothetical protein PRUPE_ppa018669mg partial [Prunus persica] 
CSS0013882,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570-like [Solanum tuberosum]
CSS0045972,putative expansin [Gerbera hybrid cultivar]
CSS0015084,PREDICTED: uncharacterized protein LOC102623579 [Citrus sinensis]
CSS0048927,PREDICTED: CBL-interacting protein kinase 04 isoform X1 [Vitis vinifera] 
CSS0024538,PREDICTED: protein NEN1-like [Sesamum indicum]
CSS0006898,PLC-like phosphodiesterases superfamily protein [Theobroma cacao] 
CSS0001021,PREDICTED: cytochrome b-c1 complex subunit Rieske-4 mitochondrial-like [Sesamum indicum]
CSS0048851,photosystem II protein K (chloroplast) [Camellia sinensis]
CSS0015671,PREDICTED: peroxisomal membrane protein 11D-like [Pyrus x bretschneideri] 
CSS0031987,hypothetical protein CISIN_1g023543mg [Citrus sinensis]
CSS0031071,Defensin-like family protein putative [Theobroma cacao] 
CSS0037782,hypothetical protein CICLE_v10012752mg [Citrus clementina] 
CSS0024319,PREDICTED: uncharacterized protein LOC102599225 [Solanum tuberosum]
CSS0020260,hypothetical protein CISIN_1g028408mg [Citrus sinensis]
CSS0001866,Uncharacterized protein TCM_034930 [Theobroma cacao] 
CSS0038561,PREDICTED: serine--tRNA ligase [Nicotiana sylvestris]
CSS0034267,PREDICTED: uncharacterized protein LOC104608045 isoform X2 [Nelumbo nucifera]
CSS0000019,PREDICTED: uncharacterized protein LOC104598566 [Nelumbo nucifera]
CSS0022922,alcohol dehydrogenase 2 [Diospyros kaki]
CSS0024785,unnamed protein product [Vitis vinifera]
CSS0027733,PREDICTED: CMP-N-acetylneuraminate-beta-galactosamide-alpha-23-sialyltransferase 1 [Vitis vinifera]
CSS0034397,PREDICTED: auxin-induced protein X10A-like [Nicotiana tomentosiformis]
CSS0019986,unnamed protein product [Vitis vinifera]
CSS0007817,hypothetical protein PRUPE_ppa003182mg [Prunus persica] 
CSS0014691,PREDICTED: putative nuclease HARBI1 isoform X1 [Eucalyptus grandis]
CSS0002850,hypothetical protein CISIN_1g0029411mg partial [Citrus sinensis]
CSS0015342,PREDICTED: UDP-D-apiose/UDP-D-xylose synthase 2-like [Nelumbo nucifera]
CSS0021791,WD-repeat protein putative [Ricinus communis] 
CSS0041893,PREDICTED: LOB domain-containing protein 37-like [Solanum lycopersicum]
CSS0048367,hypothetical protein EUGRSUZ_D01615 [Eucalyptus grandis]
CSS0025839,PREDICTED: GDSL esterase/lipase At5g45960-like [Nelumbo nucifera]
CSS0027502,hypothetical protein POPTR_0011s128502g partial [Populus trichocarpa] 
CSS0020840,PREDICTED: polygalacturonase At1g48100-like [Populus euphratica]
CSS0020367,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At2g24230 [Vitis vinifera]
CSS0004123,PREDICTED: eukaryotic initiation factor 4A-3 [Vitis vinifera]
CSS0011027,PREDICTED: uncharacterized protein LOC104878603 [Vitis vinifera]
CSS0028610,PREDICTED: glucose-6-phosphate 1-dehydrogenase 4 chloroplastic isoform X1 [Vitis vinifera]
CSS0019318,PREDICTED: probable histone-lysine N-methyltransferase ATXR3 [Vitis vinifera] 
CSS0045012,PREDICTED: uncharacterized protein LOC100255290 [Vitis vinifera]
CSS0004411,hypothetical protein JCGZ_06368 [Jatropha curcas]
CSS0002135,hypothetical protein JCGZ_10475 [Jatropha curcas]
CSS0032935,PREDICTED: F-box/kelch-repeat protein At3g23880-like isoform X1 [Nicotiana sylvestris]
CSS0014049,hypothetical protein VITISV_000588 [Vitis vinifera]
CSS0022280,PREDICTED: E3 ubiquitin-protein ligase RING1 isoform X1 [Sesamum indicum]
CSS0025707,hypothetical protein PRUPE_ppa026076mg [Prunus persica] 
CSS0046287,PREDICTED: plastid division protein PDV1-like [Fragaria vesca subsp. vesca]
CSS0017473,hypothetical protein CICLE_v10003979mg partial [Citrus clementina] 
CSS0000726,unnamed protein product [Coffea canephora]
CSS0000255,Basic helix-loop-helix DNA-binding superfamily protein putative [Theobroma cacao] 
CSS0049294,Cyclic nucleotide gated channel 1 isoform 3 [Theobroma cacao] 
CSS0016670,PREDICTED: serine/threonine-protein kinase Aurora-1 [Vitis vinifera] 
CSS0047912,PREDICTED: uncharacterized protein LOC105172799 [Sesamum indicum]
CSS0020216,Glucan endo-13-beta-glucosidase 4 [Glycine soja]
CSS0026559,Zinc-binding ribosomal family protein [Theobroma cacao] 
CSS0027339,PREDICTED: carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 [Vitis vinifera] 
CSS0042099,PREDICTED: ADPATP carrier protein 3 mitochondrial [Sesamum indicum] 
CSS0031147,unnamed protein product [Coffea canephora]
CSS0031577,PREDICTED: uncharacterized protein LOC102665607 [Glycine max]
CSS0005751,PREDICTED: uncharacterized protein LOC101307011 [Fragaria vesca subsp. vesca]
CSS0028231,PREDICTED: erlin-1 [Sesamum indicum]
CSS0040380,PREDICTED: putative ABC transporter C family member 15 [Vitis vinifera]
CSS0017158,unnamed protein product [Vitis vinifera]
CSS0008875,galactokinase 1 [Camellia sinensis]
CSS0009956,PREDICTED: uncharacterized protein LOC100264995 [Vitis vinifera]
CSS0024389,putative membrane protein [Solanum tuberosum]
CSS0004237,Oligopeptide transporter 1 [Morus notabilis] 
CSS0014747,PREDICTED: stomatin-like protein 2 mitochondrial-like [Solanum tuberosum]
CSS0042318,hypothetical protein VITISV_035295 [Vitis vinifera]
CSS0006477,3-dehydroquinate dehydratase/shikimate dehydrogenase 2 [Camellia sinensis] 
CSS0034048,unnamed protein product [Coffea canephora]
CSS0018423,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [Theobroma cacao] 
CSS0001712,PREDICTED: protein SHORT-ROOT isoform X1 [Vitis vinifera]
CSS0033080,PREDICTED: uncharacterized protein LOC103699224 [Phoenix dactylifera]
